"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","701","test_login_mobile","tests","Thu Dec 25 05:42:51 UTC 2025","passed","Thu Dec 25 05:42:51 UTC 2025","","test_mobile","",""
"","391","test_multiple_items_addition[Sauce Labs Bolt T-Shirt]","tests","Thu Dec 25 05:42:53 UTC 2025","passed","Thu Dec 25 05:42:54 UTC 2025","","test_params","",""
"","371","test_multiple_items_addition[Sauce Labs Backpack]","tests","Thu Dec 25 05:42:52 UTC 2025","passed","Thu Dec 25 05:42:52 UTC 2025","","test_params","",""
"","510","test_add_item_to_cart","tests","Thu Dec 25 05:42:47 UTC 2025","passed","Thu Dec 25 05:42:48 UTC 2025","","test_cart","",""
"","313","test_sorting_az","tests","Thu Dec 25 05:42:54 UTC 2025","passed","Thu Dec 25 05:42:54 UTC 2025","","test_ui_elements","",""
"","2334","test_valid_login","tests","Thu Dec 25 05:42:48 UTC 2025","passed","Thu Dec 25 05:42:51 UTC 2025","","test_login","",""
"","1241","test_logout","tests","Thu Dec 25 05:42:55 UTC 2025","passed","Thu Dec 25 05:42:56 UTC 2025","","test_ui_elements","",""
"","362","test_multiple_items_addition[Sauce Labs Bike Light]","tests","Thu Dec 25 05:42:52 UTC 2025","passed","Thu Dec 25 05:42:53 UTC 2025","","test_params","",""
